token,occurrences,length,keep_caps,has_vowels
AA,36,2,Y,Y
AAA,8,3,Y,Y
AAB,1,3,Y,Y
AAC,2,3,Y,Y
AADL,1,4,,Y
AAFA,1,4,,Y
AAFW,1,4,,Y
AAG,1,3,Y,Y
AAIA,1,4,,Y
AAJA,1,4,,Y
AAL,1,3,Y,Y
AAM,1,3,Y,Y
AAQ,1,3,Y,Y
AAR,1,3,Y,Y
AASP,1,4,,Y
AAT,7,3,Y,Y
AAV,1,3,Y,Y
AAYJ,1,4,,Y
AAZ,1,3,Y,Y
AB,60,2,Y,Y
ABA,20,3,Y,Y
ABAC,1,4,,Y
ABB,1,3,Y,Y
ABBA,2,4,,Y
ABBI,1,4,,Y
ABBR,1,4,,Y
ABBS,2,4,,Y
ABC,48,3,Y,Y
ABCA,2,4,,Y
ABD,1,3,Y,Y
ABDI,8,4,,Y
ABED,1,4,,Y
ABEL,4,4,,Y
ABF,1,3,Y,Y
ABFB,1,4,,Y
ABG,1,3,Y,Y
ABI,5,3,Y,Y
ABIA,1,4,,Y
ABIB,1,4,,Y
ABIS,1,4,,Y
ABK,1,3,Y,Y
ABL,5,3,Y,Y
ABLE,17,4,,Y
ABM,5,3,Y,Y
ABN,2,3,Y,Y
ABP,2,3,Y,Y
ABQ,2,3,Y,Y
ABRR,1,4,,Y
ABS,8,3,Y,Y
ABT,1,3,Y,Y
ABU,2,3,Y,Y
ABUK,1,4,,Y
ABY,1,3,Y,Y
ABYZ,1,4,,Y
AC,93,2,Y,Y
ACA,5,3,Y,Y
ACAA,2,4,,Y
ACAD,5,4,Y,Y
ACAI,1,4,,Y
ACAS,2,4,Y,Y
ACAT,1,4,,Y
ACC,18,3,Y,Y
ACCI,1,4,,Y
ACCO,3,4,,Y
ACCT,4,4,,Y
ACD,5,3,Y,Y
ACDA,1,4,,Y
ACDD,1,4,,Y
ACE,34,3,Y,Y
ACER,2,4,,Y
ACES,2,4,,Y
ACET,1,4,,Y
ACF,5,3,Y,Y
ACFE,1,4,,Y
ACG,2,3,Y,Y
ACH,1,3,Y,Y
ACHK,1,4,,Y
ACI,2,3,Y,Y
ACIG,1,4,,Y
ACJ,1,3,Y,Y
ACK,1,3,Y,Y
ACL,2,3,Y,Y
ACLS,1,4,,Y
ACLT,1,4,,Y
ACM,9,3,Y,Y
ACME,3,4,,Y
ACMR,1,4,,Y
ACO,3,3,Y,Y
ACOR,1,4,,Y
ACP,4,3,Y,Y
ACR,2,3,Y,Y
ACRE,7,4,,Y
ACRO,1,4,,Y
ACS,24,3,Y,Y
ACSK,1,4,,Y
ACT,26,3,Y,Y
ACTI,1,4,,Y
ACX,1,3,Y,Y
ACYC,1,4,,Y
AD,24,2,Y,Y
ADA,5,3,Y,Y
ADAM,32,4,,Y
ADAN,1,4,,Y
ADAS,2,4,,Y
ADC,2,3,Y,Y
ADCS,5,4,Y,Y
ADCX,1,4,,Y
ADD,1,3,Y,Y
ADDA,2,4,,Y
ADE,3,3,Y,Y
ADEL,1,4,,Y
ADEM,2,4,,Y
ADEN,2,4,,Y
ADES,1,4,,Y
ADH,1,3,Y,Y
ADHA,1,4,,Y
ADHD,23,4,,Y
ADI,6,3,Y,Y
ADJ,1,3,Y,Y
ADK,6,3,Y,Y
ADL,4,3,Y,Y
ADM,4,3,Y,Y
ADMH,1,4,,Y
ADMI,1,4,,Y
ADO,5,3,Y,Y
ADOB,1,4,,Y
ADP,6,3,Y,Y
ADPH,3,4,,Y
ADR,2,3,Y,Y
ADRU,1,4,,Y
ADS,15,3,Y,Y
ADSO,1,4,,Y
ADT,7,3,Y,Y
ADU,2,3,Y,Y
ADV,6,3,Y,Y
ADVI,1,4,,Y
ADW,3,3,Y,Y
ADXS,1,4,,Y
ADY,2,3,Y,Y
AE,14,2,Y,Y
AEA,6,3,Y,Y
AEAC,1,4,,Y
AEBI,3,4,,Y
AEC,5,3,Y,Y
AECQ,1,4,,Y
AED,1,3,Y,Y
AEF,1,3,Y,Y
AEG,3,3,Y,Y
AEH,1,3,Y,Y
AELP,1,4,,Y
AEON,1,4,,Y
AEP,3,3,Y,Y
AEPA,1,4,,Y
AER,3,3,Y,Y
AERO,2,4,,Y
AES,5,3,Y,Y
AET,1,3,Y,Y
AETA,1,4,,Y
AEUG,1,4,,Y
AEUP,1,4,,Y
AEX,1,3,Y,Y
AEYY,1,4,,Y
AF,9,2,Y,Y
AFAM,2,4,,Y
AFB,1,3,Y,Y
AFC,10,3,Y,Y
AFCL,1,4,,Y
AFD,2,3,Y,Y
AFDD,1,4,,Y
AFFI,1,4,,Y
AFG,1,3,Y,Y
AFIA,1,4,,Y
AFIF,1,4,,Y
AFJ,1,3,Y,Y
AFQ,1,3,Y,Y
AFRO,9,4,,Y
AFS,4,3,Y,Y
AFT,1,3,Y,Y
AFZA,1,4,,Y
AG,27,2,Y,Y
AGA,11,3,Y,Y
AGAR,1,4,,Y
AGB,4,3,Y,Y
AGBW,1,4,,Y
AGC,2,3,Y,Y
AGE,28,3,,Y
AGED,3,4,,Y
AGEN,2,4,,Y
AGG,1,3,Y,Y
AGHM,1,4,,Y
AGKU,1,4,,Y
AGL,2,3,Y,Y
AGM,3,3,Y,Y
AGMP,1,4,,Y
AGN,1,3,Y,Y
AGNC,1,4,,Y
AGQ,1,3,Y,Y
AGQP,1,4,,Y
AGRI,2,4,,Y
AGRY,1,4,,Y
AGS,2,3,Y,Y
AGUA,1,4,,Y
AGW,1,3,Y,Y
AGX,1,3,Y,Y
AGY,1,3,Y,Y
AGZ,2,3,Y,Y
AH,7,2,Y,Y
AHA,1,3,Y,Y
AHAS,2,4,,Y
AHDF,1,4,,Y
AHE,1,3,Y,Y
AHEH,1,4,,Y
AHHJ,1,4,,Y
AHHU,1,4,,Y
AHHV,1,4,,Y
AHIG,1,4,,Y
AHJ,1,3,Y,Y
AHK,1,3,Y,Y
AHLP,1,4,,Y
AHMK,1,4,,Y
AHNP,1,4,,Y
AHOY,1,4,,Y
AHP,3,3,Y,Y
AHPW,2,4,,Y
AHR,6,3,Y,Y
AHRO,1,4,,Y
AHS,1,3,Y,Y
AI,17,2,Y,Y
AIBK,1,4,,Y
AIC,1,3,Y,Y
AICO,1,4,,Y
AID,63,3,,Y
AIDS,8,4,,Y
AIF,1,3,Y,Y
AIFD,1,4,,Y
AIFS,1,4,,Y
AIG,2,3,Y,Y
AIGP,1,4,,Y
AIK,1,3,Y,Y
AIKE,1,4,,Y
AILH,1,4,,Y
AIM,23,3,Y,Y
AIMH,2,4,,Y
AIMS,4,4,,Y
AIP,1,3,Y,Y
AIPI,1,4,,Y
AIR,59,3,,Y
AIRO,1,4,,Y
AIRP,1,4,,Y
AIS,4,3,Y,Y
AISA,2,4,,Y
AIT,1,3,Y,Y
AIXC,1,4,,Y
AIZO,1,4,,Y
AJ,26,2,Y,Y
AJA,1,3,Y,Y
AJAX,1,4,,Y
AJAY,3,4,,Y
AJB,7,3,Y,Y
AJC,4,3,Y,Y
AJD,2,3,Y,Y
AJDK,1,4,,Y
AJF,1,3,Y,Y
AJFP,1,4,,Y
AJI,1,3,Y,Y
AJM,4,3,Y,Y
AJMN,1,4,,Y
AJN,1,3,Y,Y
AJP,6,3,Y,Y
AJR,5,3,Y,Y
AJS,9,3,Y,Y
AJTZ,1,4,,Y
AK,20,2,Y,Y
AKA,9,3,Y,Y
AKAB,1,4,,Y
AKAK,1,4,,Y
AKC,1,3,Y,Y
AKD,3,3,Y,Y
AKGD,1,4,,Y
AKJ,2,3,Y,Y
AKKM,1,4,,Y
AKL,1,3,Y,Y
AKM,3,3,Y,Y
AKMG,1,4,,Y
AKOA,1,4,,Y
AKOS,1,4,,Y
AKS,2,3,Y,Y
AKT,3,3,Y,Y
AKUA,1,4,,Y
AKW,9,3,Y,Y
AKZG,1,4,,Y
AL,34,2,Y,Y
ALAF,1,4,,Y
ALAG,2,4,,Y
ALAM,7,4,,Y
ALAN,31,4,,Y
ALAO,1,4,,Y
ALAR,1,4,,Y
ALAY,1,4,,Y
ALB,2,3,Y,Y
ALBA,3,4,,Y
ALCJ,1,4,,Y
ALD,3,3,Y,Y
ALDI,18,4,,Y
ALDP,1,4,,Y
ALE,1,3,Y,Y
ALEC,1,4,,Y
ALEX,15,4,,Y
ALF,1,3,Y,Y
ALFA,4,4,,Y
ALG,3,3,Y,Y
ALI,45,3,Y,Y
ALIF,2,4,,Y
ALIS,2,4,,Y
ALIX,4,4,,Y
ALKA,1,4,,Y
ALL,140,3,,Y
ALLA,1,4,,Y
ALLI,2,4,,Y
ALLT,1,4,,Y
ALLU,3,4,,Y
ALLY,2,4,,Y
ALM,5,3,Y,Y
ALMA,2,4,,Y
ALN,2,3,Y,Y
ALNE,1,4,,Y
ALO,1,3,Y,Y
ALOB,1,4,,Y
ALON,1,4,,Y
ALP,3,3,Y,Y
ALPH,1,4,,Y
ALPZ,1,4,,Y
ALS,6,3,Y,Y
ALSO,1,4,,Y
ALT,2,3,Y,Y
ALTE,1,4,,Y
ALTR,1,4,,Y
ALU,1,3,Y,Y
ALUM,1,4,,Y
ALVA,1,4,,Y
ALVO,1,4,,Y
ALY,1,3,Y,Y
ALZH,1,4,,Y
AM,45,2,,Y
AMA,3,3,Y,Y
AMAC,2,4,,Y
AMAL,4,4,,Y
AMAN,2,4,,Y
AMAR,2,4,,Y
AMAS,4,4,,Y
AMAU,2,4,,Y
AMAX,2,4,Y,Y
AMBA,1,4,,Y
AMBK,1,4,,Y
AMC,2,3,Y,Y
AMD,1,3,Y,Y
AME,4,3,Y,Y
AMEN,2,4,,Y
AMES,3,4,,Y
AMEY,1,4,,Y
AMF,3,3,Y,Y
AMFM,1,4,,Y
AMG,3,3,Y,Y
AMGV,1,4,,Y
AMI,5,3,Y,Y
AMIG,1,4,,Y
AMIN,7,4,,Y
AMIR,1,4,,Y
AMIT,2,4,,Y
AMK,4,3,Y,Y
AML,4,3,Y,Y
AMM,1,3,Y,Y
AMMA,1,4,,Y
AMMW,1,4,,Y
AMNA,1,4,,Y
AMON,1,4,,Y
AMOR,2,4,,Y
AMOS,3,4,,Y
AMOY,1,4,,Y
AMP,14,3,Y,Y
AMPI,2,4,,Y
AMPM,9,4,Y,Y
AMR,4,3,Y,Y
AMRO,2,4,,Y
AMRP,1,4,,Y
AMRU,1,4,,Y
AMS,24,3,Y,Y
AMSD,1,4,,Y
AMSY,2,4,,Y
AMT,3,3,Y,Y
AMU,1,3,Y,Y
AMUD,1,4,,Y
AMUR,1,4,,Y
AMUS,1,4,,Y
AMV,3,3,Y,Y
AMW,1,3,Y,Y
AMX,1,3,Y,Y
AMY,16,3,,Y
AMYG,1,4,,Y
AMYJ,1,4,,Y
AMYS,1,4,,Y
AMZ,181,3,Y,Y
AMZN,82,4,Y,Y
AN,22,2,Y,Y
ANA,10,3,Y,Y
ANBA,1,4,,Y
ANBK,1,4,,Y
ANC,4,3,Y,Y
AND,2008,3,,Y
ANDY,4,4,,Y
ANEB,1,4,,Y
ANG,1,3,Y,Y
ANGE,1,4,,Y
ANGO,1,4,,Y
ANH,1,3,Y,Y
ANJA,1,4,,Y
ANJU,1,4,,Y
ANK,4,3,Y,Y
ANKH,2,4,,Y
ANN,25,3,Y,Y
ANNA,30,4,,Y
ANNE,19,4,,Y
ANNS,6,4,,Y
ANP,1,3,Y,Y
ANPR,1,4,,Y
ANQ,1,3,Y,Y
ANR,3,3,Y,Y
ANS,14,3,Y,Y
ANSL,1,4,,Y
ANT,1,3,Y,Y
ANTI,1,4,,Y
ANTZ,1,4,,Y
ANU,1,3,Y,Y
ANV,1,3,Y,Y
ANY,1,3,,Y
ANYA,1,4,,Y
AO,9,2,Y,Y
AOA,1,3,Y,Y
AOC,10,3,Y,Y
AOCO,1,4,,Y
AOD,1,3,Y,Y
AODG,1,4,,Y
AOIU,1,4,,Y
AOKA,1,4,,Y
AOL,1,3,Y,Y
AON,8,3,Y,Y
AOS,1,3,Y,Y
AOV,2,3,Y,Y
AOWR,1,4,,Y
AP,32,2,Y,Y
APA,3,3,Y,Y
APAC,1,4,,Y
APB,2,3,Y,Y
APBA,1,4,,Y
APC,6,3,Y,Y
APE,2,3,Y,Y
APEK,1,4,,Y
APEM,1,4,,Y
APEX,39,4,,Y
APF,1,3,Y,Y
APG,1,3,Y,Y
API,1,3,Y,Y
APIC,1,4,,Y
APJ,1,3,Y,Y
APKP,1,4,,Y
APL,8,3,Y,Y
APM,3,3,Y,Y
APMG,1,4,,Y
APN,1,3,Y,Y
APOR,1,4,,Y
APP,6,3,Y,Y
APPL,1,4,,Y
APPS,4,4,,Y
APPY,1,4,,Y
APR,4,3,Y,Y
APRP,1,4,,Y
APS,26,3,Y,Y
APSC,1,4,,Y
APSE,7,4,,Y
APSL,1,4,,Y
APT,12,3,Y,Y
APTO,1,4,,Y
APVR,1,4,,Y
APW,6,3,Y,Y
APX,2,3,Y,Y
AQ,1,2,Y,Y
AQA,4,3,Y,Y
AQG,1,3,Y,Y
AQH,1,3,Y,Y
AQL,1,3,Y,Y
AQMO,1,4,,Y
AQPT,1,4,,Y
AQQ,1,3,Y,Y
AQUA,8,4,,Y
AQXU,1,4,,Y
AR,20,2,Y,Y
ARA,1,3,Y,Y
ARAB,2,4,,Y
ARAM,3,4,,Y
ARAN,1,4,,Y
ARAP,1,4,,Y
ARAS,1,4,,Y
ARB,2,3,Y,Y
ARBD,1,4,,Y
ARC,27,3,Y,Y
ARCA,1,4,,Y
ARCH,13,4,,Y
ARCO,10,4,,Y
ARCS,2,4,,Y
ARD,2,3,Y,Y
ARDO,2,4,,Y
ARE,22,3,,Y
AREA,16,4,,Y
ARES,1,4,,Y
AREZ,2,4,,Y
ARF,1,3,Y,Y
ARG,4,3,Y,Y
ARGO,1,4,,Y
ARI,1,3,Y,Y
ARIA,3,4,,Y
ARIF,2,4,,Y
ARIS,1,4,,Y
ARJ,2,3,Y,Y
ARJO,4,4,,Y
ARK,61,3,,Y
ARL,2,3,Y,Y
ARLO,1,4,,Y
ARM,1,3,Y,Y
ARMA,1,4,,Y
ARMC,1,4,,Y
ARMS,13,4,,Y
ARMY,15,4,,Y
ARO,2,3,Y,Y
AROD,1,4,,Y
ARON,1,4,,Y
AROS,1,4,,Y
ARP,3,3,Y,Y
ARR,1,3,Y,Y
ARRK,1,4,,Y
ARRO,3,4,,Y
ARSN,1,4,,Y
ART,75,3,,Y
ARTA,1,4,,Y
ARTE,2,4,,Y
ARTI,2,4,,Y
ARTS,180,4,,Y
ARTY,1,4,,Y
ARUN,6,4,,Y
ARUP,5,4,,Y
ARVI,1,4,,Y
ARW,1,3,Y,Y
ARY,1,3,Y,Y
ARYA,1,4,,Y
ARZU,1,4,,Y
AS,102,2,,Y
ASA,12,3,Y,Y
ASAL,2,4,,Y
ASAP,5,4,,Y
ASB,12,3,Y,Y
ASBO,1,4,,Y
ASC,2,3,Y,Y
ASCL,4,4,,Y
ASCO,1,4,,Y
ASCP,4,4,,Y
ASCS,1,4,,Y
ASD,17,3,Y,Y
ASDA,24,4,,Y
ASDC,1,4,,Y
ASDO,1,4,,Y
ASE,3,3,Y,Y
ASF,1,3,Y,Y
ASG,1,3,Y,Y
ASH,20,3,,Y
ASHA,1,4,,Y
ASHE,2,4,,Y
ASHI,1,4,,Y
ASI,3,3,Y,Y
ASIA,5,4,,Y
ASIM,1,4,,Y
ASK,18,3,Y,Y
ASKK,1,4,,Y
ASLD,1,4,,Y
ASLM,1,4,,Y
ASM,9,3,Y,Y
ASMA,1,4,,Y
ASMJ,1,4,,Y
ASMM,1,4,,Y
ASOS,1,4,,Y
ASP,1,3,Y,Y
ASPU,1,4,,Y
ASR,3,3,Y,Y
ASRA,1,4,,Y
ASRG,1,4,,Y
ASRS,1,4,,Y
ASS,30,3,Y,Y
ASSA,5,4,,Y
ASSC,1,4,,Y
ASSI,1,4,,Y
ASSN,21,4,,Y
ASSO,10,4,,Y
AST,3,3,Y,Y
ASV,1,3,Y,Y
ASW,5,3,Y,Y
ASWS,1,4,,Y
ASY,1,3,Y,Y
ASZ,1,3,Y,Y
AT,97,2,,Y
ATA,2,3,Y,Y
ATBM,1,4,,Y
ATBQ,1,4,,Y
ATC,4,3,Y,Y
ATCM,1,4,,Y
ATCO,1,4,,Y
ATD,5,3,Y,Y
ATEC,4,4,,Y
ATEM,1,4,,Y
ATF,2,3,Y,Y
ATFC,1,4,,Y
ATG,5,3,Y,Y
ATH,1,3,Y,Y
ATHE,1,4,,Y
ATM,4,3,Y,Y
ATMA,1,4,,Y
ATMK,1,4,,Y
ATOZ,2,4,,Y
ATP,2,3,Y,Y
ATPA,1,4,,Y
ATPB,1,4,,Y
ATPI,1,4,,Y
ATQ,1,3,Y,Y
ATS,6,3,Y,Y
AU,3,2,Y,Y
AUD,1,3,Y,Y
AUDI,1,4,,Y
AUEG,1,4,,Y
AUG,10,3,,Y
AUGB,1,4,,Y
AUJR,1,4,,Y
AULD,1,4,,Y
AUM,1,3,Y,Y
AUMI,1,4,,Y
AURA,8,4,,Y
AUT,4,3,Y,Y
AUTH,2,4,,Y
AUTO,26,4,,Y
AUWV,1,4,,Y
AUY,1,3,Y,Y
AV,48,2,Y,Y
AVA,4,3,Y,Y
AVAL,2,4,,Y
AVB,1,3,Y,Y
AVC,6,3,Y,Y
AVCO,2,4,,Y
AVE,3,3,Y,Y
AVEN,1,4,,Y
AVEO,3,4,,Y
AVF,2,3,Y,Y
AVG,1,3,Y,Y
AVI,2,3,Y,Y
AVID,2,4,,Y
AVIG,2,4,,Y
AVIS,2,4,,Y
AVLA,2,4,,Y
AVMI,2,4,Y,Y
AVON,2,4,,Y
AVP,1,3,Y,Y
AVR,3,3,Y,Y
AVS,3,3,Y,Y
AVSS,1,4,,Y
AVT,1,3,Y,Y
AVV,1,3,Y,Y
AVWK,1,4,,Y
AVX,1,3,Y,Y
AVXR,1,4,,Y
AW,11,2,Y,Y
AWA,2,3,Y,Y
AWAD,1,4,,Y
AWAY,2,4,,Y
AWC,1,3,Y,Y
AWD,2,3,Y,Y
AWE,2,3,Y,Y
AWG,1,3,Y,Y
AWH,9,3,Y,Y
AWIO,1,4,,Y
AWKC,1,4,,Y
AWL,1,3,Y,Y
AWMA,1,4,,Y
AWP,2,3,Y,Y
AWS,4,3,Y,Y
AWT,2,3,Y,Y
AWTG,1,4,,Y
AWV,1,3,Y,Y
AWZV,1,4,,Y
AX,2,2,Y,Y
AXA,7,3,Y,Y
AXAD,1,4,,Y
AXE,3,3,Y,Y
AXEL,1,4,,Y
AXGW,1,4,,Y
AXIS,11,4,,Y
AXON,1,4,,Y
AXUB,1,4,,Y
AXV,1,3,Y,Y
AXX,1,3,Y,Y
AXXV,1,4,,Y
AY,1,2,Y,Y
AYA,1,3,Y,Y
AYAI,1,4,,Y
AYAK,1,4,,Y
AYAN,1,4,,Y
AYBI,1,4,,Y
AYEK,1,4,,Y
AYER,1,4,,Y
AYLA,1,4,,Y
AYM,4,3,Y,Y
AYOM,1,4,,Y
AYP,1,3,Y,Y
AYPO,1,4,,Y
AYPT,1,4,,Y
AYRE,2,4,,Y
AYS,1,3,Y,Y
AYSE,5,4,Y,Y
AYUB,1,4,,Y
AYUP,2,4,,Y
AYWZ,1,4,,Y
AYZJ,1,4,,Y
AYZQ,1,4,,Y
AZ,18,2,Y,Y
AZA,1,3,Y,Y
AZC,2,3,Y,Y
AZH,1,3,Y,Y
AZIO,1,4,,Y
AZIZ,3,4,,Y
AZKE,1,4,,Y
AZLV,1,4,,Y
AZOI,1,4,,Y
AZPA,1,4,,Y
AZSQ,1,4,,Y
AZYB,1,4,,Y
BA,14,2,Y,Y
BAA,2,3,Y,Y
BAAF,5,4,Y,Y
BAAH,1,4,,Y
BAB,2,3,Y,Y
BABA,5,4,,Y
BABE,1,4,,Y
BABY,20,4,,Y
BAC,2,3,Y,Y
BACH,1,4,,Y
BACK,26,4,,Y
BACM,1,4,,Y
BACP,1,4,,Y
BACS,5,4,Y,Y
BAD,1,3,Y,Y
BADU,6,4,,Y
BAE,4,3,Y,Y
BAEK,1,4,,Y
BAF,1,3,Y,Y
BAG,9,3,,Y
BAGS,4,4,,Y
BAH,1,3,Y,Y
BAHD,1,4,,Y
BAID,1,4,,Y
BAIN,2,4,,Y
BAIS,1,4,,Y
BAJT,1,4,,Y
BAK,1,3,Y,Y
BAKE,6,4,,Y
BAKR,1,4,,Y
BAKY,2,4,,Y
BAL,5,3,Y,Y
BALA,2,4,,Y
BALL,5,4,,Y
BALM,1,4,,Y
BALS,1,4,,Y
BAM,6,3,Y,Y
BAMB,1,4,,Y
BAME,3,4,,Y
BAMY,1,4,,Y
BAN,2,3,Y,Y
BANA,2,4,,Y
BAND,15,4,,Y
BANE,1,4,,Y
BANG,5,4,,Y
BANH,1,4,,Y
BANK,52,4,,Y
BAO,1,3,Y,Y
BAPS,1,4,,Y
BAR,76,3,,Y
BARC,1,4,,Y
BARE,1,4,,Y
BARI,3,4,,Y
BARK,1,4,,Y
BARN,13,4,,Y
BARR,2,4,,Y
BARS,12,4,,Y
BAS,7,3,Y,Y
BASE,9,4,,Y
BASS,1,4,,Y
BASW,1,4,,Y
BAT,3,3,Y,Y
BATH,9,4,,Y
BATT,1,4,,Y
BAWI,1,4,,Y
BAXY,1,4,,Y
BAY,15,3,,Y
BAYS,1,4,,Y
BAYT,1,4,,Y
BAZ,1,3,Y,Y
BAZA,1,4,,Y
BB,27,2,Y,
BBA,1,3,Y,Y
BBAK,1,4,,Y
BBB,4,3,Y,
BBC,4,3,Y,
BBE,2,3,Y,Y
BBEV,1,4,,Y
BBFI,1,4,,Y
BBH,1,3,Y,
BBI,1,3,Y,Y
BBK,3,3,Y,
BBL,3,3,Y,
BBM,1,3,Y,
BBMR,2,4,Y,
BBNN,1,4,Y,
BBO,1,3,Y,Y
BBOP,1,4,,Y
BBPC,1,4,Y,
BBPX,1,4,Y,
BBQ,2,3,Y,
BBR,1,3,Y,
BBS,8,3,Y,
BBUK,3,4,,Y
BBW,1,3,Y,
BBY,4,3,Y,
BBYC,1,4,Y,
BC,21,2,Y,
BCA,2,3,Y,Y
BCAE,1,4,,Y
BCAM,1,4,,Y
BCB,1,3,Y,
BCC,3,3,Y,
BCD,2,3,Y,
BCED,1,4,,Y
BCF,3,3,Y,
BCH,1,3,Y,
BCHS,1,4,Y,
BCI,5,3,Y,Y
BCIS,4,4,Y,Y
BCJD,1,4,Y,
BCK,3,3,Y,
BCL,1,3,Y,
BCLH,1,4,Y,
BCM,1,3,Y,
BCOA,1,4,,Y
BCP,3,3,Y,
BCQ,1,3,Y,
BCS,13,3,Y,
BCW,3,3,Y,
BCWA,1,4,,Y
BCZC,1,4,Y,
BD,21,2,Y,
BDA,2,3,Y,Y
BDB,4,3,Y,
BDC,5,3,Y,
BDGE,1,4,,Y
BDI,6,3,Y,Y
BDJK,1,4,Y,
BDL,3,3,Y,
BDLD,1,4,Y,
BDM,4,3,Y,
BDO,2,3,Y,Y
BDP,7,3,Y,
BDR,3,3,Y,
BDRC,1,4,Y,
BDS,1,3,Y,
BDT,2,3,Y,
BDU,1,3,Y,Y
BDW,3,3,Y,
BDYV,1,4,Y,
BE,42,2,,Y
BEA,3,3,Y,Y
BEAD,2,4,,Y
BEAK,1,4,,Y
BEAL,2,4,,Y
BEAM,11,4,,Y
BEAN,7,4,,Y
BEAP,1,4,,Y
BEAR,14,4,,Y
BEAT,5,4,,Y
BEAU,3,4,,Y
BEB,1,3,Y,Y
BEBE,1,4,,Y
BEC,3,3,Y,Y
BECK,14,4,,Y
BECT,1,4,,Y
BED,5,3,Y,Y
BEDE,2,4,,Y
BEDS,15,4,,Y
BEE,8,3,Y,Y
BEEN,1,4,,Y
BEER,3,4,,Y
BEES,25,4,,Y
BEGG,3,4,,Y
BEGU,1,4,,Y
BEGW,1,4,,Y
BEHR,1,4,,Y
BEI,1,3,Y,Y
BEIM,4,4,,Y
BEIR,1,4,,Y
BEIS,19,4,,Y
BEL,1,3,Y,Y
BELA,1,4,,Y
BELL,37,4,,Y
BELS,1,4,,Y
BELX,1,4,,Y
BELZ,1,4,,Y
BEMD,1,4,,Y
BEN,20,3,,Y
BENK,1,4,,Y
BENN,2,4,,Y
BENS,3,4,,Y
BEP,2,3,Y,Y
BEPU,1,4,,Y
BERB,2,4,,Y
BERE,1,4,,Y
BERG,7,4,,Y
BERK,1,4,,Y
BERO,1,4,,Y
BERR,1,4,,Y
BES,11,3,Y,Y
BESA,7,4,,Y
BESS,1,4,,Y
BEST,46,4,,Y
BETA,7,4,,Y
BETH,1,4,,Y
BEVS,1,4,,Y
BEW,3,3,Y,Y
BEX,2,3,Y,Y
BEXL,1,4,,Y
BEYA,2,4,,Y
BEZI,1,4,,Y
BF,8,2,Y,
BFC,2,3,Y,
BFGD,1,4,Y,
BFI,2,3,Y,Y
BFQ,1,3,Y,
BFQL,1,4,Y,
BFR,1,3,Y,
BFS,7,3,Y,
BFV,1,3,Y,
BG,5,2,Y,
BGB,1,3,Y,
BGC,6,3,Y,
BGCS,1,4,Y,
BGE,1,3,Y,Y
BGFK,1,4,Y,
BGH,1,3,Y,
BGIX,1,4,,Y
BGL,2,3,Y,
BGMC,1,4,Y,
BGPS,2,4,Y,
BGQW,1,4,Y,
BGS,4,3,Y,
BGUA,2,4,,Y
BGX,1,3,Y,
BH,6,2,Y,
BHA,1,3,Y,Y
BHAM,2,4,,Y
BHF,1,3,Y,
BHFS,2,4,Y,
BHGB,1,4,Y,
BHH,1,3,Y,
BHHI,1,4,,Y
BHJE,1,4,,Y
BHK,1,3,Y,
BHL,1,3,Y,
BHM,1,3,Y,
BHMA,1,4,,Y
BHN,2,3,Y,
BHO,1,3,Y,Y
BHR,2,3,Y,
BHSF,1,4,Y,
BHT,1,3,Y,
BHW,2,3,Y,
BI,4,2,Y,Y
BIA,1,3,Y,Y
BIAW,2,4,,Y
BIBI,7,4,,Y
BICS,5,4,,Y
BID,23,3,Y,Y
BIDL,1,4,,Y
BIDS,2,4,,Y
BIE,1,3,Y,Y
BIEA,1,4,,Y
BIEB,1,4,,Y
BIEU,1,4,,Y
BIFV,1,4,,Y
BIG,66,3,,Y
BIGL,1,4,,Y
BIKE,17,4,,Y
BILD,2,4,,Y
BILL,1,4,,Y
BILZ,1,4,,Y
BIM,2,3,Y,Y
BIMM,2,4,,Y
BIN,8,3,,Y
BINA,2,4,,Y
BINC,1,4,,Y
BIND,1,4,,Y
BINS,2,4,,Y
BIO,2,3,Y,Y
BIP,6,3,Y,Y
BIRD,19,4,,Y
BIRK,1,4,,Y
BIRM,1,4,,Y
BIS,4,3,Y,Y
BIST,1,4,,Y
BIT,2,3,Y,Y
BITE,4,4,,Y
BITS,1,4,,Y
BITT,1,4,,Y
BIUV,1,4,,Y
BIZ,3,3,Y,Y
BJ,2,2,Y,
BJBG,1,4,Y,
BJF,2,3,Y,
BJM,2,3,Y,
BJNE,1,4,,Y
BJQD,1,4,Y,
BJS,1,3,Y,
BJSS,1,4,Y,
BJV,1,3,Y,
BJW,1,3,Y,
BJWQ,1,4,Y,
BK,14,2,Y,
BKA,1,3,Y,Y
BKB,1,3,Y,
BKBK,1,4,Y,
BKBM,3,4,Y,
BKFC,1,4,Y,
BKFT,1,4,Y,
BKG,13,3,Y,
BKH,4,3,Y,
BKO,1,3,Y,Y
BKPX,1,4,Y,
BKR,1,3,Y,
BKS,4,3,Y,
BKSB,5,4,Y,
BKZY,1,4,Y,
BL,12,2,Y,
BLA,2,3,Y,Y
BLAE,1,4,,Y
BLAK,1,4,,Y
BLB,4,3,Y,
BLDG,2,4,Y,
BLDN,1,4,Y,
BLFR,1,4,Y,
BLH,1,3,Y,
BLI,1,3,Y,Y
BLIN,1,4,,Y
BLJQ,1,4,Y,
BLK,1,3,Y,
