supplier_clean,amount,rowcount
Motion Picture Licensing Company Ltd,66874.68,25
Walker After School Club,66847,18
Bibby Factors Sussex Ltd,66831.45,16
Adesua Osime,66825,8
Mala Charga Theatre,66823,6
May Supported Living Ltd,66816,29
Locality,66800,6
Arts Without Borders,66800,13
Neophytou Property Investments Ltd,66796.06,49
Islington Bangladesh Association,66790,14
TSA Spaces Ltd,66772.17,5
Dancewest London Ltd,66772,20
Virtual College Ltd,66753.02,16
Cloyda Care Home,66727.23,44
Trinity Court,66725.44,14
SHL Group Ltd,66706.43,11
Lifepaths Care Ltd,66700.03,29
MRO People Ltd,66700,45
Staying PUT Carer's,66658.66,85
Cumbria Pension Fund,66641.01,1
Intelligent Plans & Examinations,66636.75,14
Learning In Harmony Multi Academy Trust,66617.08,3
AD Loft & Construction Ltd,66600,2
Franklincovey Europe Ltd,66590.63,4
Guysfield House Ltd,66590,19
Boon Edam Ltd,66589.42,26
Centre For Accessible Environments,66579,12
The London Landlord Ltd,66557.8,19
Iliffe Print Cambridge Ltd,66555,14
Montore Building Services Ltd,66546.02,8
39-69 EDY Freehold Ltd,66545.74,20
NAZ Project London,66540,7
St Dominics Residential Home Ltd,66537.71,12
Viscount Consultants Ltd,66535.73,6
Street Doctors Ltd,66533.33,26
Happy Heaven Ltd,66528.83,47
Priory Group Of Companies,66528,10
Joybrook,66525.84,16
Cornwall County Care,66510.71,23
Aspect,66500,1
Victoria House Care Home,66494.74,5
Oeconnection Ltd,66490.41,31
Asian Women's Association,66485.88,11
St Joseph's Junior Infant And Nursery School,66485.24,7
Visiopath Ltd,66476.4,24
Coram Trading Ltd,66467,6
Strategic Leisure Ltd,66465,7
Walton And Green Electrical Services Ltd,66461.25,14
Minoa Cherubs Ltd,66456.67,21
Student Employment Services Ltd,66443.99,66
Andrew Portch And Lisa Portch,66443.72,1
The Abbeyfield East London Extra CA,66440.81,23
The Union Of The Sisters Of Mercy Of Great Britain,66431.1,22
Rovisan Ltd,66429.12,37
Signs & Safety Ltd,66425.45,6
Lambert & Macfarlane Electrica,66417.72,2
Moving On Care Ltd,66411.47,112
Ashridge Court Care Centre Ltd,66402.72,10
John Bradshaw Ltd,66380.98,9
University Of West London Commercial Ltd,66362.73,16
Nicola Young,66362.51,35
Worth Technical Accounting Solutions Ltd,66350,5
Pavilion Publishing & Media Ltd,66308.12,10
Forgetmenot Adult Centre Ltd,66301.43,29
Fosterplust Ltd,66292.7,24
Fountains Direct Ltd,66289.25,38
Whale Tankers Ltd,66277.65,43
Pathology Group Ltd,66275,46
King & Mcgaw Ltd,66275,59
Arthur J Ferryman Associates,66268.65,41
Macintyre School And Children's Home,66249.16,2
Network Recruitment Solutions Ltd,66248.75,145
Labc,66227.15,25
Miss D S Hinds,66218.41,77
Wolverton Park Nursery Ltd,66216.9,3
Kaliko Dwellings Ltd,66215.8,17
Somers Town Space Community Interest Company,66209.89,9
BC Consultancy Services Ltd,66200,3
MF Brown Ltd,66195,8
Fayers Plumbing & Building Supplies,66188.13,86
Parcs Healthcare Ltd,66142.85,17
Teebollz Consulting Ltd,66131.28,12
The Treehouse Trust,66127.34,3
Education Links,66125.82,19
Blockchain Care Solutions UK Ltd,66124.99,17
Well Informed Ltd,66117.4,37
Other Cinemas CIC,66108,6
Working With MEN,66105.63,9
Method Consulting LLP,66100,23
RBA Acoustics Ltd,66097.75,31
St Christophers Fellowship-scf,66096.58,36
Shurgard UK Ltd,66075.07,149
Groundsman Tools Ltd,66068.09,27
ADP Architecture Ltd,66064.39,10
Heron's Nest,66063.42,20
The Willows Nursing & Resi Home,66050.25,27
Tmle Ltd,66047.51,39
Lee Noble,66020,3
Hoama Group Ltd,66014.36,10
9 WTR Freehold Ltd,66010.9,8
The Big Red Bus Club Charlton Ltd,66003.6,9
Safe Haven Adolescent Care Group,66000.81,16
YS Caribbean Ltd,66000,4
Kingston International Film Festival Ltd,66000,9
Polysolar Ltd,66000,2
Renown Newspaper Services,65981.31,48
Hall Mark Meat Hygiene Ltd,65958.94,9
NTA Planning LLP,65953.33,31
Heathbridge Practice,65952.97,9
Ocado Operating Ltd,65935.26,1
Mistis Ltd,65934.57,18
Trakm8 Ltd,65928.24,30
Exactrak Ltd,65908.5,20
Footways CIC,65895,7
High Street Vouchers,65891.63,477
Source Secured Ltd,65888.31,17
Wilcob Care Ltd,65847.4,6
Reids Playground Maintenance Ltd,65838,19
The Spires Centre,65837.81,10
Forest Hill School,65837.32,13
Worth Unlimited For Walthamforest,65834,5
Lawyers In Local Government,65829.33,38
Little Local Marketing Company Ltd,65827.06,14
Negotiators Ltd,65822.5,60
Devon Pension Fund,65821.65,1
Brandwatch,65794.8,2
Union Street Partners,65784.17,6
Deltascheme Ltd,65778.8,11
Department For Science Innovation & Technology,65757.25,16
Chesterton Education Ltd,65738.84,8
Kunta Kinte Ltd,65722.75,16
Graeme Beedham Consultancy Ltd,65715.15,36
Green Teck Ltd,65702.58,6
Cherry Blossom Care Home Ltd,65699.99,40
Gary Beestone Ltd,65687.47,3
Jesmund Care Home,65685.72,34
Ganarew House,65685.72,34
Dawling Ltd,65685.23,6
Havelock Primary School,65684.91,9
Independent Safety Design Ltd,65682.66,2
ECO Communities,65656.35,30
J Carroll & Sons,65638.82,30
AC Education Ltd,65633.29,25
Datagraphic Group Ltd,65601.23,40
KHR Properties Ltd,65592.09,24
Concept Facilities Management Ltd,65580,2
Keefields Ltd,65578.62,6
Solutions Social Care Agency,65565,48
Curti Lifts,65565,3
Retail Assist Ltd,65562.28,8
LCT & Daughters Ltd,65550,16
The Hillingdon Hospital NHS Trust /,65546.82,18
M By Mariah Legal,65541.66,11
Chiltern Costs Consultants,65535.5,90
Harlesden Primary School,65530,15
E4cabling Ltd,65525,6
Police & Crime Commissioner For Dorset,65515,2
TCV,65505.26,20
Clive Atkins Consultancy Ltd,65500,12
Cambridge Online Education Ltd,65500,9
Armour Lock And Safe Co,65493.65,50
A S K Letting Ltd,65493.33,21
Mini Minds London Ltd,65491.2,3
Puck Studio Ltd,65487.44,9
S H Somerscales Ltd,65472,8
9 Temple Road- Transforming Support,65444.72,6
Meridian Angel Primary School,65440.88,6
Inspire Cornwall CIC,65430,4
DK Contracts,65407,41
Inclusion Care Ltd,65399.48,8
EUS Holding Ltd,65395.5,4
Kinetic Foundation,65393.4,11
Talk With Us,65384.18,76
Auxillis,65381.99,17
Peak & Pennine Properties Ltd,65377.44,7
Chelsea And Westminster NHS FT,65366.91,13
Whitwam Ltd,65360.44,4
Youth Development London Ltd,65344.5,9
Daya Care Group Ltd,65338.83,110
Wimbledon Experience Ltd,65336.6,15
Chelsfield Associates Ltd,65323.9,7
Wandsworth Medical Centre,65320.42,9
Cmac Group,65319.14,47
Culloden Primary School,65304.48,6
Equipe 52 Ltd,65292.32,27
Winckworth & Sherwood,65283.75,24
Assured Services Ltd,65266.49,25
Eunetworks Fiber UK Ltd,65262.24,7
Searcy Tansley & Company Ltd,65259.9,6
Hox Design Architects,65237.97,15
Anderson Wilde & Harris Ltd,65237.5,19
Shining Stars Childcare Ltd,65229.23,34
Bellfarm Construction Ltd,65215,7
Stow Healthcare Group Ltd,65202.67,258
Beritazcare Ltd,65200,10
Teleshore Ltd,65176.63,47
Solarwinds Software Europe Ltd,65149.95,2
Remark ! Ltd,65148.96,112
Castles Letting & Management,65133.69,16
Leigh Academy Blackheath,65129.1,18
Housing Connections Ltd,65119.69,19
MGL Healthcare Ltd,65098,16
Little Angels Uni Ltd,65083,6
Workspace Group Plc,65067.92,21
360 Lifestyle Support Network CIC,65066.67,6
HS Birk,65062,57
Chrysalis Supported Association Ltd,65049.67,14
Image Data Group Ltd,65038,25
Egress Ltd,65000,2
Taylor Surveyors Ltd,65000,158
PFS Childrens Asylum,65000,4
Bramham Gardens Management Committee,65000,1
Arundel & Elgin Gardens Management Com,65000,1
Sheu Ltd,65000,1
Construction Industry Trust For You,65000,7
Asian Resource Centre Of Croydon Ltd,65000,4
Women's Trust,65000,6
National Park City Foundation,65000,3
Kingston GP Chambers,65000,4
Zodiac Arts Ltd,64992,32
G & S Smirthwaite Ltd,64991,47
Wheelie Bin Direct,64975,12
Bison Solicitors Ltd,64972.35,2
Cemetery Development Services Ltd,64966.25,18
AD Property Services Ltd,64965,1
Accounting Officer - Home Office,64963.24,2
Altair Consultancy Services & Advisory,64958.12,10
Tonbridge & Malling Borough Council,64956.37,4
R. C. Cutting & Co. Ltd,64952,70
The Kennington Association,64951,13
Cardo South Ltd,64937.43,2
Kindervelt Ltd,64924.71,7
Leftley Sports Club,64910,3
Smitham Downs Road,64905.84,6
EL Financial Management Ltd,64896,23
Hubexo North UK Ltd,64892,3
Urbanest,64880.1,1
Real Lifea,64865.72,14
Kymin Consultancy Ltd,64850,7
Savanta Group Ltd,64825,3
Francesca Callara,64815.95,3
Maven Healthcare North Court LLP,64801.8,21
Mrs Pansy Hunter,64800.32,9
LPS Consulting Ltd,64800,8
VSM Estates Ltd,64800,1
4 Global Consulting Ltd,64790,9
Monkfrith Primary School,64787,5
Protocol National Ltd,64786.59,43
SEL Therapy Ltd,64786.48,15
Anstey Horne & Co. Ltd,64775.38,26
Abundance Arts,64748,7
Grant And Stone,64743.9,16
Weblabs Ltd,64741.8,15
Partnership For Young London,64732.33,6
Brockewll Gate Ltd,64731.9,33
Rocket Science Ltd,64713,8
Place Group Ltd,64685.34,16
Treske Ltd,64674.5,12
Toy Box N16 Ltd,64665.71,8
Taylor & Emmet LLP,64664.88,2
Ampthill Flooring Ltd,64656.94,3
Ascp Group Ltd,64656.8,16
Wallacespace Ltd,64656.6,36
CTRC Community Care Company,64655.85,31
KEL Computing Ltd,64651,6
Shakthi Healthcare Ltd,64628.57,54
Arborista Ltd,64605,16
Promech Services Ltd,64603.44,9
M & S Simply Food,64596.69,1512
Blue Cube Ltd,64590.39,20
HN Trading Holdings Ltd,64575.78,17
Kiddies Palace Nursery Ltd,64539.19,9
Newham Music Trust,64527,15
Ramsden Hall Academy,64513.16,14
Aurora Orchard Manor Transition Service,64509.28,5
After5services Ltd,64500,16
The Tim Henman Foundation,64500,3
St Stephens RC Primary School,64492.98,10
WCC Teachers Pensions - St James And St Johns,64480.24,7
Heightsafe Systems Ltd,64476.36,26
Noadswood School,64449,2
PQ Training UK Ltd,64447.65,23
Elan Lifts Ltd,64440,1
We Are The Fair Ltd,64415.6,3
Kingston Chamber Of Commerce,64360,5
Trackmyrisks,64350,26
One Plus One Marriage And Partnership Research,64340,14
London & Continental Railways Ltd,64315.44,10
Wilsonparker Ltd,64314.61,21
Joseph House,64297.41,5
Able Canopies Ltd,64295,5
Spectacular Speech Therapy Services,64295,11
Irrv,64287.5,46
ZEN Internet Ltd,64285.38,33
DMC Electrical Contractors Ltd,64273.38,22
Stuart Fenn Property Services,64263,11
MGD Specialist Interior Finishes Ltd,64262,6
Consul Chartered Surveyors,64260,2
Attuned To Children Ltd,64254.98,17
Weightron Bilanciai Ltd,64239.32,7
Greater London Demolition Ltd,64218.9,3
SPPF Ltd,64215.05,29
Sparkles Pre-school,64197.77,16
Nasa Umbrella Ltd,64187.5,6
Amion Consulting Ltd,64186.01,14
Ward Hadaway Solicitors,64173.82,24
Spectrum Plastics,64166.8,26
Influential Software Services Ltd,64164.97,6
Charing Park Investments Ltd,64153.37,20
Council Of Asian People HAR Day Car,64151.92,21
Stone Lodge School,64150.5,9
Peoplespace Ltd,64120.66,10
St Marks Care Home Ltd,64114.29,19
Chevron Traffic Management Ltd,64105,96
Bright Hygiene Management Ltd,64093.27,49
Rails Distribution UK Ltd,64084.12,1
Minerva Building Restoration Ltd,64081.6,13
Utilidex Ltd,64080.25,9
Leigh Academies Trust TAS Leigh Academ Blackheath,64064.02,1
R A Engineering Solutions Ltd,64057.5,27
Mr Construction Consultants Ltd,64049.25,31
Ability Hire Ltd,64045.71,11
Jacqueline Fearon Ltd,64043.06,59
Advanced New Technology Ltd,64034.7,28
Rachel Chapman Ltd,64000,11
FCS Software Ltd,64000,4
S C Law Solicitors Ltd,64000,3
East Peninsula Trading Co. Ltd,64000,8
Second Principle Ltd,64000,10
LAN Ten Metering Services Ltd,63991.44,9
Levitate,63976.24,11
Chiswick House Trading Company Ltd,63965.28,9
Omnes Health Care Ltd,63965,15
Southwark Every Woman's Centre,63949.4,10
The Capital City Academy,63934,3
Imagine Nation Preschool And Daycare,63933.6,14
Eunetworks Group Ltd,63932.51,2
Child First Consultancy Ltd,63929.8,16
The Kemnal Academies Trust-debden Park High School,63909.35,16
Elaine Killerby,63906,14
PCM Technical Services Ltd,63898.8,19
Claudia Jones Organisation,63890.1,4
Pasante Healthcare Ltd,63885.74,33
Wandsworth Chamber Of Commerce,63878.4,12
LK Print Ltd,63877.17,37
WPG Ltd,63852.44,60
Acutance Consulting Ltd,63842.7,15
First Response Group Ltd,63826.68,8
Adventure Play Hub,63816.64,17
Disability Croydon,63800,11
Stepney All Saints School,63798.81,10
Frederick Bremer School,63787.32,6
Paush Ltd,63780.67,77
Samreni Ltd,63780,16
N D A First Aid Training Ltd,63775,22
Riverside Broadcasting CIC,63772,10
FY Care Ltd,63764.56,24
Corgi Technical Services Ltd,63753,35
Thera East,63750.57,12
Bexley Womens Aid,63750,3
Snapfast Ltd,63734,2
One Newham,63731,7
Guru Systems Ltd,63730.2,37
Riana Development Network,63730,14
Enterprise Car Club,63706.04,5
Tempus FM,63700.13,30
Hmcts,63672,35
Mini Mentshen Ltd,63672,2
Gallions Mount Primary School,63670.8,8
Personnel Hygiene Services Ltd,63654.8,37
City Home Care Ltd,63649.54,109
Urban Station Road Sidcup Ltd,63648,1
The Centre For Outcomes Of Care,63645,8
Four Communications Group Ltd,63641.81,8
Little Stars N16 Ltd,63641.7,15
PSL Recruitment Services Ltd,63630.79,36
JS Transport Management Services Ltd,63630,23
Brook Green Medical Centre,63629.11,25
Fullwell Cross Medical Centre - Dr G G Steinbergs & Partners,63625,9
Draycott Nurseries & Landscape Sales Ltd,63607.43,9
One Eighty Advisory Ltd,63600,20
Simbas Nursery School Ltd,63596.66,24
Dwight School London NLI School Ltd,63593.69,12
Frontier Therapautics Ltd,63589.2,3
Fit For Life Youth CIC,63587.43,21
Ruskins Tree Consultancy A Trading Name Of R G Consutancy Ltd,63573.28,19
Little Eden Preschool And Day Nursery Ltd,63570.34,45
Highbury Rise Residential Home,63564.86,17
Publicola Ltd,63542.74,7
Egalite Care Ltd,63536.58,12
Alpine Air Ltd,63534,11
Addiss,63530,18
A & S Landscape Ltd,63527.5,3
South Coast Care Homes Ltd,63525.71,12
Shomrim North West London,63500,1
Gould Landscapes Ltd,63494.24,37
Upshot Systems CIC,63471,18
Therapy Solutions Ltd,63459,22
Eployitssoftwaresystemsltd,63454.92,3
Little Legs Nursery Ltd,63452.87,14
Rmac Consulting Ltd,63450,5
Prime Estate Agents Ltd,63445.64,28
Managed Exit Ltd,63435.58,14
Diamond Care Ltd,63426.75,25
Docstor Ltd,63415,2
Leaders In Community,63407,18
Parklands Primary School,63398.09,19
London Sportif,63374.94,14
Allenby Primary School,63364.57,7
St Joseph In The Park School,63350.32,8
Gazebo Land,63343.93,20
AWC Motors,63341.96,37
Home-start,63336,8
Venishmartem Ltd,63333.33,5
Arundel House,63322.22,12
Little Stars Day Care,63316.89,8
Citywest Support Services Ltd,63305.01,2
EMM Lane & Westbank Care Home,63300.23,50
Clancy Consulting,63297,9
Blessed Holy Family Catholic Academy Trust,63294.52,5
Kinetica Consult,63287,1
Omniplex Group Ltd,63274.5,18
CCS Adoption Ltd,63271,2
Compass Minerals Storage & Archives,63268.12,24
Grip Nomco's 1 & 2 Ltd,63267.21,29
Cherry Lodge,63230.66,27
N V Wells Ltd,63230,15
Blossoms Day Care Ltd,63217.2,2
Scribblekids Childminding,63215.31,25
Successful Mums Ltd,63200,12
Chips,63191.85,12
Peques Nursery School,63188.5,7
British Medical Association,63184.67,4
Carpenters Ltd,63182.53,10
Ahava Community Ltd,63180.4,10
Real Mission Care,63177.36,22
Spatial Dimensions Ltd,63173.37,11
Care Pro South East Ltd,63168.2,12
VS Traffic Data Services Ltd,63160.4,7
World Heart Beat Music Academy Ltd,63150,7
G & A Fire Protection Ltd,63148.02,4
Barking & Dagenham Trading Partnership L,63147.08,4
Car Chase Motors Ltd,63119,14
Sandys Estate Ltd,63117.46,14
Codestone Solutions Ltd,63116.72,16
Safe Havens Services Ltd,63110.43,24
MJF Business Services Ltd,63089.05,27
Verrolyne Services Ltd,63070.38,34
UCL,63069.6,12
Leicestershire Pension Fund,63059.55,1
Wolfestone Translation Ltd,63047.68,61
Yourfuturenow II,63044.94,19
CSG Global Education Ltd,63037.08,107
Maybrick Property Maintenance,63034.22,93
Sinfonia Of London Ltd,63000,1
SMB Canopies,62999.36,4
Rosmead Garden Committee,62996,1
Pyrgo Priory After School Club,62994,9
Safeguard Pest Control And Environmental Services Ltd,62968.39,65
Zoggs,62967.09,14
Upskillu Ltd,62965.5,7
Heather Way- Alpha Health & Care Services Ltd,62961.12,2
Sunlight Care Group,62954.22,7
Papillon Property Management Ltd,62945.89,4
A Pamphilon & Sons Ltd,62933.01,28
Langford Chase Estate Agents Ltd,62924.85,19
Prominent Lettings Ltd,62902.97,37
Club Creche Ltd,62902.43,8
Harwood Building Services Ltd,62890.46,10
Naylor Friend Properties Ltd,62884.61,6
A R C S Environmental Ltd,62872,87
Eurban Ltd,62863.49,11
Sovereigndesignplaysystemsltd,62852.28,2
Guardian Training Services Ltd,62850.64,22
Northolt Guest House Ltd,62820,92
Encompass Environmental Ltd,62819.15,24
The Bridge Satellites,62816.61,7
Oliver Kan Tree Services,62810.5,29
Cleartone Telecoms Ltd,62803,3
Elite Catering,62799.08,45
Small Haven School,62786.41,10
Freshwater F R B Scheme,62771.8,21
Honeypot Childminding,62769,26
NG Bailey IT Services,62767.24,72
Beyond Carbon Associates Ltd,62760,11
Fcs-live Ltd,62751.35,24
Woods Whur Ltd,62750,6
Malcolm Hughes Land Surveyors Ltd,62732,13
Kent County Council Cashiers Team,62730.99,26
Performance Coaching International,62729.27,10
Jordan Xavier Connect Ltd,62702.14,22
Holistic Well Women,62700,8
Corbys & Co,62700,52
BDS Ltd,62681,5
EM Training Solutions Ltd,62658.33,28
Cray Valley Communications Ltd,62650,50
Filigree Communications Ltd,62648.52,20
Thames Life,62638.2,16
Ealing Hammersmith And West London Coll,62632.67,8
Alpha Health & Care Services,62628.51,46
Bossmaths Ltd,62620,10
Jacobs & Gardens Neuro Centres,62617.32,3
Sight & Sound Technology Ltd,62611.43,50
Beis Pinchas Nursing Home,62597.08,40
Avondalecare,62591.2,10
Barons Fylde Coast Supplies Ltd,62588.96,3
Cudham C Of E Primary School,62581.38,4
Anytime Childcare CIC,62566.72,10
Comelit-pac UK Ltd,62551.13,12
North London Homecare & Support Ltd,62551,55
Tenant Support Helpline,62511.33,11
SHI Corporation UK Ltd,62511.1,1
Productschon Consulting,62500,7
The London Irish Centre,62500,9
Office Out Ltd,62495,4
High Quality Home Care Ltd,62493.36,66
STS Complete Health & Safety Ltd,62488,68
Natty Little Yogis,62480,7
English National Ballet Ltd,62477,15
Dotdigital Emea Ltd,62459.44,18
Axis Entrance Systems Ltd,62454.87,19
Abuk Group Ltd,62450.54,10
M K Memorials,62435.25,22
K20 Consultancy Ltd,62425,3
Envirosurv Ltd,62410.58,25
HSL Pathology LLP,62409.97,40
St Margarets School Ltd,62407.59,9
LA Maternelle Nursery School Ltd,62404.45,27
The Frontline Organisation,62400,8
Mendoza Ltd,62399.48,27
Supajam Education In Music And,62387.31,2
Dauntsey House Care Home Ltd,62385.74,13
Brook House Primary School,62383.62,3
Tower Hamlets Council,62355.79,1
Freshwave Services Ltd,62348.38,2
Marsh Services Ltd,62345,18
Villas Nursery,62344.51,21
Barrettine Environmental Health,62343.32,51
Growth Industry Ltd,62337.75,9
Artelia UK,62328.4,20
Virtus Care Ltd,62321.36,46
Cbec ECO Engineering UK Ltd,62311,9
Eritrean Community UK,62298.67,14
Daniel Smith,62286.98,2
LE Chateau Textiles Ltd,62280.78,36
Bepu Ltd,62269.6,19
Psychology Direct Ltd,62256.53,33
The Temple Group Ltd,62254,11
ZED Pods Ltd,62252.51,1
Mysociety Ltd,62250,2
Howard Agency Ltd,62246.35,160
Bibby Factors Leicester Ltd,62239.33,18
MCS Healthcare Ltd,62234.36,62
Zocalo Ltd,62217.69,36
RIE Management Ltd,62200,9
London Fire Brigade,62168.47,132
St Thomas More RC Primary School,62157.47,7
Pure Insights International,62154,26
Flourish Family Centre,62152.69,22
Arboricultural Solutions LLP,62150,14
Ridge Property And Construction,62112.7,11
Castle Hill Primary Academy,62109.28,6
Onwatch UK Ltd,62105,87
Elected Technologies Ltd,62100,10
St John & St James Cofe Primary School,62098.7,12
Iese Ltd,62089.33,11
Plot 10 Community Play Project,62084,5
CBI,62077.66,8
Gear4music Ltd,62076.22,100
New Future Collective Ltd,62075,10
Stebon School,62061.55,8
Inspire Global Leadership Training & Coaching Consultancy Ltd,62060,45
Hatton School & Special Needs Centre,62058.84,9
Sutton Carers Centre,62050,4
Woolwich Works Trading Ltd,62048.71,17
14 Avenue Road- Avenue Road,62044,12
40-45 Burton Street,62041.36,13
Sursham Tompkins & Partners Ltd,62040,6
Baker Estates,62000,13
Keys Psychological Services,62000,15
Turner Home,61995.68,14
Belle Vue School,61994.22,5
NLC Nova Lift Company Ltd,61990.77,54
West Family Trust,61986.59,24
Dorians Solicitors Ltd,61980.21,8
Creative Land Trust,61959.75,1
Total-play Ltd,61957.2,3
Maddox And Associates Ltd,61938.7,24
C & P Ltd,61913.16,14
Energy Engineering Ltd,61905.16,10
Rise And Thrive,61875,6
Brighton Road,61868.76,9
ELS Solicitors Ltd,61866.67,3
LA Retraite RC 11-19 Girls School,61865.62,10
Thru Life CIC,61850,26
Bumble Bees Montessori,61850,3
Better Living Properties Ltd,61847.8,31
Lakeside Pre School,61847.32,20
Wilcomatic Ltd,61843.4,19
London LGBT Community Pride CIC,61830.5,16
Nicola Brownjohn Safeguarding Consultancy Ltd,61825,28
The Priory Federation Of Academies,61803.46,4
Sheringham House,61802.16,4
Macdonald & Company Property Ltd,61796,9
Eritrean Muslim Community Association UK,61794,12
Quainton Hall Nursery,61789.2,2
St Andrews Children Society Ltd,61765,1
Arkas Law Ltd,61756.88,23
Littlelernerpgltd,61753.91,8
High Field House,61748.73,3
Tower Bridge Care Home,61745.25,17
Billigence Europe Ltd,61744,2
Bedstone Educational Ltd,61742.82,6
FBC Manby Bowdler Solicitors,61738,2
KTC Advisory Ltd,61731.75,17
Oasis Academy-enfield,61728,6
Bedspace Resource Ltd,61684.24,59
Sustainable Energy 24 Ltd,61675,4
Passt Ltd,61650,145
201 Church Road - QUO Vadis Trust,61636.11,39
The York Medical Practice,61617.42,9
Childcare & Business Consultan,61605.99,7
The Greatest Show On Earth Ltd,61588,4
Cattaneo Commercial Ltd,61585.9,15
Accurocare St.johns Home Ltd,61585.71,18
Skyguard Group Ltd,61584.08,13
Abbott Toxicology Ltd,61565.32,99
Maidstone & Tunbridge Wells NHS Trust,61555,66
Acorn Park Adult Services,61547.84,4
Link Asset Services Ltd,61542,10
Progressive Care Ltd,61534.12,6
Mentor By Design Ltd,61528.41,51
Trisha's Childcare,61526.97,32
Gloucestershire County Council,61509.16,8
Zahra Properties Management Ltd,61500.32,11
Mead Estates Investments Ltd,61500,1
Pitman Tozer Architects,61481.32,14
Blowing Bubbles Ltd,61477.01,4
KUN Mor & George Kiss Home,61473.05,18
Power Hygiene & Safety Products Ltd,61470.04,92
2ic-care Ltd,61466.3,6
TP Icap Broking Ltd,61458.83,31
G3 Security Services,61451.86,19
Prosper Housing Ltd,61435.4,32
Oakdown House Ltd,61431.47,11
Social Care Enterprises Ltd,61430.6,17
Kingston Pension Fund,61420.37,2
Macconvilles Ltd,61419.42,14
Emanuel School,61413,7
Bonus Pastor Catholic College,61390.74,10
Blink Dance Theatre CIC,61385,14
The Motivational Mums Club,61382.28,3
Feltocks Housing Ltd,61376.3,20
Torridon Primary School,61373.08,11
Lambeth Somali Community Association,61372.5,12
The Lodge Kennels And Cattery,61370.22,72
The Orchard Hampton Day Nurser,61362.85,4
The Access To Sports Project,61360,8
Teletrac Navman Ltd,61347.77,43
Artav Ltd,61335.08,2
Federation Of Crosfield Nursery And Selhurst Nursery And Children's Centres,61329.83,15
Keepsake Videos,61315.93,34
Onyx Fire And Security Ltd,61295.2,7
Aspect Management Solutions,61281,12
Independent Supported Living And Disabilities Ltd,61277.14,48
Vibrance Outreach,61256.24,11
Reline Care Ltd,61253.95,64
One To One,61249.26,7
Brunsfield Ltd,61244.15,1
Lolly Tots Day Nursery Ltd,61229.96,11
K Tiplady Ltd,61218.12,27
Barnes & Partners Solicitors,61204.94,31
Allwag Promotions Ltd,61203.35,6
Loyalcare Group Services Ltd,61200,16
Ebase Technology Ltd,61200,2
Lift Safe Ltd,61198.79,36
The Scaffolding Company Ltd,61195.75,23
Meridian Primary School,61174,5
The Highshore School,61170.6,1
United Technologies Ltd,61163.87,15
Tamehaven Ltd,61154.46,50
Midshire Care Ltd,61151.3,34
St Margaret's School Bushey,61150.38,12
Hillcroft,61135.6,6
Little House Childcare,61131.95,11
CRV East London,61130.55,32
The Chislehurst Partnership,61098,8
Lordham Support Services Ltd,61094.86,26
Sheffield Hallam University,61085,5
Hilda-rose Care Ltd,61083.97,24
Woodland Commercial Ltd,61071.6,2
Coram Childrens Legal Centre,61070.14,19
Liberty Housing CIC,61061,22
Amber Scaffolding Ltd,61051,12
Apml Estate Ltd,61050.17,2
Millgray Properties,61037.75,31
Navigate NDC Ltd,61036.69,10
Lustre Consulting Ltd,61027.5,22
SMH Events Ltd,61020.34,69
Ladyb Healthcare Recruitment Agency,61016.03,33
Caris,61000,7
Globaldata UK Ltd,60984,2
Murrefield Lodge Ltd,60975.9,50
Firtree House Nursing Home Ltd,60974.89,13
Modular Cubed Ltd,60974.75,4
St John The Divine Primary School,60969.01,7
Carterhatch Junior School,60967.43,5
Lenval Ltd,60962,5
Vinechurch London,60946.1,2
Bebe Playhouse Ltd,60943.2,2
Change That Matters Ltd,60940,15
Kinleigh Ltd,60938.59,24
London School Of Hygiene And Tropical M,60932,8
Korean British Cultural Exchange,60915.86,7
Stadium Housing As,60913.79,12
The Cottage,60906.98,126
Chris Grose Training And Consultancy,60900,7
St Margarets Care Home,60900,21
42 Stretton Road- Adelaide Care Ltd,60881.76,8
Brit School,60872.07,15
Ark Brunel Primary Academy,60866.88,8
Cadogan Estates Ltd,60865.29,15
Defluo Plumbing & Drainage Ltd,60864,18
St Thomas Nursing Home,60857.15,12
Smarty Pants Day Nursery,60842,8
Daniel Longe - Freelance Advocate,60830.54,76
Pure Football Academy,60828.54,14
Daffodil House - QUO Vadis Trust,60810.47,33
Xafinity Paymaster,60756.94,62
Maida Vale School Ltd,60755.4,11
Futures For Shared Lives Ltd,60751.73,113
Safeguarding And Improvement Solutions Ltd,60750,5
Tovie AI Ltd,60750,2
Anchor Carehomes Group Ltd,60729.48,8
Fairford Academy Barnehurst,60723.18,3
Zoom Video Communications Inc,60710.14,274
1 Kings Bench Walk Chambers,60701.67,73
You Choose Ltd,60694.75,4
Polytan Sports Surfaces Ltd,60687.84,6
Forever Care Ltd,60685.71,34
The Future Vehicles Company Ltd,60679.13,51
Urban Intelligence Ltd,60666.67,2
Huddleston Centre,60665.31,6
Serenefy Ltd,60660.02,20
Parallel Independence Ltd,60651,11
Enfield Council,60632.43,13
Pitney Bowes Finance Plc,60626.92,28
The Royal Parks Agency,60623.89,13
Bemrose Booth Paragon Ltd,60623.8,22
Kulsuma Khatun,60611.1,11
Waterman Infrastructure,60599.5,7
City Am Ltd,60596,13
