supplier_clean,amount,rowcount
Seven Kings High School Payroll AC,41550594.96,37
Idverde Ltd,41318042.11,1021
City Of London Corporation,41229894.83,811
Single Homeless Project,40392827,1309
BCS Electrical & Building Services Ltd,40176938.85,325
Elliot Leigh Property Management Ltd,40167342.04,4104
Tower Hamlets GP Care Group CIC,39995833.37,141
Carepoint Services Ltd,39761584.92,6827
Greenwich BSF SPV Ltd,39638623.6,189
Lewisham Schools For The Future SPV Ltd,39611686.31,98
Ealing Care Alliance Ltd,39591977.14,97
Sanctuary Care Ltd,39295755.51,3190
Kier Construction Ltd,39260618.71,78
Provide Equipment Hub Ltd,38996223.1,151
Barking Abbey School,38850455.86,190
Openview Security Solutions Ltd,38719638.11,19913
JO Richardson Community School,38511901,184
Care Outlook Ltd,38494456.73,12785
Holy Trinity Primary School,38473955.59,322
United Living Ltd,38317263.38,297
Lettings International Ltd,37932308.09,8080
Effectable Construction Services,37445914.59,6554
Barnet Education & Learning Services,37354591.72,281
City Of Westminster,37262559.21,889
Royal Borough Of Kingston Upon Thames,37228195.13,623
Bytes Software Services Ltd,36836379.92,1077
NEC Software Solutions UK Ltd,36797899.27,1900
GCH Ltd,36383524.92,5356
Total Energies,36376955.29,35
Notting Hill Genesis,36147550.85,970
Marston Holdings Ltd,36128024.87,294
Kent County Council/Kent Shared Lives,35905178.71,3498
Morpeth School,35757091.25,185
South London & Maudsley NHS Foundation Trust,35694200.5,216
Eventay Ltd,35202577.86,382
Central Foundation Girls School,34789740.4,164
Pilon Ltd,34784749.72,2117
Phoenix Software Ltd,33934338.77,719
Bright Horizons,33926256.68,2441
Creative Support Ltd,33860039.93,1672
Continental Landscapes Ltd,33847258.59,860
Agincare Ltd,33837708.6,7238
Wates Residential Construction Ltd,33820686.62,36
Vision Redbridge Culture & Leisure,33660810.05,273
CCS Homecare Services Ltd,33554512.4,5881
Country Court Care Homes Ltd,33211657.16,3079
Smith & Byford Ltd,32835263.33,3872
ASK Ltd,32556997.8,24
Marcus & Marcus Ltd,32465945.41,966
Partners For Improvement In Islington,31993754.83,76
George Green School,31919247.21,236
Turning Point Services Ltd,31853164.65,447
Stoke Newington School And Sixth Form,31830428.41,144
Stepney All Saints Church Of England Secondary School,31770328.83,183
Sundry NNDR,31654205.01,1761
Care In Finance Ltd,31632613.24,12579
OCO Ltd,31488693.51,4849
St Mungos Broadway,31364376.41,797
LBTH Swanlea School,31353506.23,167
Preventx Ltd,31318594.33,126
Civica UK Ltd,31308699.72,1553
Hestia Housing & Support Ltd,30980920.66,1726
Arthur J Gallagher Insurance Brokers Ltd,30904332.9,48
Zurich Municipal Plc,30750017.87,232
Mission Care,30745236.06,1283
Department For Works & Pensions,30744132.04,61
Bupa Care Homes Ltd,30602545.96,6332
Transform Islington Ltd,30569436.02,194
Lewisham & Greenwich NHS Trust,30515195.67,612
NHS North East London CCG,30395408.52,42
Look Ahead Care Support & Housing Ltd,30347578.05,3554
Bow School,30120526.38,164
Ricards Lodge Secondary School,29971200.64,37
Oaks Park High School Account No2,29960000,36
Brent Co-efficient Ltd,29903366.38,51
Xxxxredactedxxxx,29849574.18,12993
Newschools Ltd,29783449.33,113
The Eden Academy Trust,29677510.1,209
Central London Comm Healthcare,29660639.22,146
FCC Waste Management Ltd,29173168.16,126
Homerton University Hospital NHS Trust,28992839.16,570
Denhan International Ltd,28815770.06,8222
Purdy Contracts Ltd,28763387.39,1758
By Education Ltd,28674008.86,224
Richmond Housing Partnership,28632818.3,223
Neilcott Special Works Ltd,28517965.04,84
Kier Construciton Ltd,28321935.15,15
Age Uk,28321769.11,2678
Spokemead Maintenance Ltd,28092917.17,178
Trinity School,27842723.69,267
Galliford Try Construction Ltd,27604306.16,48
Dagenham Park C Of E School,27538922.95,158
Pinnacle Housing Ltd,27289037,1096
London Borough Of Tower Hamlets,27193934.35,598
